FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9978291379110356
0.058823529411764705,0.041666666666666664,0.8118953381878552
0.058823529411764705,0.08333333333333333,0.7756402725811409
0.09803921568627451,0.08333333333333333,0.6783677163388757
0.09803921568627451,0.16666666666666666,0.5515177503836701
0.11764705882352941,0.16666666666666666,0.5138813818456298
0.11764705882352941,0.20833333333333334,0.5080192282796997
0.13725490196078433,0.20833333333333334,0.48979156510489574
0.13725490196078433,0.25,0.4677656830913956
0.14705882352941177,0.25,0.44305168114923077
0.14705882352941177,0.2916666666666667,0.37292014629614717
0.1568627450980392,0.2916666666666667,0.36029168666164907
0.1568627450980392,0.3333333333333333,0.3585601850339031
0.24509803921568626,0.3333333333333333,0.22265090444945018
0.24509803921568626,0.375,0.21904228937139625
0.2647058823529412,0.375,0.16924825037359276
0.2647058823529412,0.4166666666666667,0.1642090813717936
0.3235294117647059,0.4166666666666667,0.11178399606955552
0.3235294117647059,0.4583333333333333,0.11096138717633287
0.3627450980392157,0.4583333333333333,0.08157184889065108
0.3627450980392157,0.5416666666666666,0.0759786742226575
0.4019607843137255,0.5416666666666666,0.04438980465729891
0.4019607843137255,0.625,0.03868888309950513
0.47058823529411764,0.625,0.029316985466191516
0.47058823529411764,0.6666666666666666,0.028663885249589748
0.4803921568627451,0.6666666666666666,0.02803165529586158
0.4803921568627451,0.7083333333333334,0.02636746017371739
0.5294117647058824,0.7083333333333334,0.022990380024614947
0.5294117647058824,0.75,0.019085352679142485
0.5490196078431373,0.75,0.017762958394625588
0.5490196078431373,0.7916666666666666,0.017729858835415117
0.6764705882352942,0.7916666666666666,0.009042266551264744
0.6764705882352942,0.8333333333333334,0.008983273229805855
0.8137254901960784,0.8333333333333334,0.004386579752294873
0.8137254901960784,0.875,0.004383296506528182
0.8921568627450981,0.875,0.002550756634017731
0.8921568627450981,1.0,0.00245822002921375
1.0,1.0,0.00018225036006084183
